"Місто","Кімнат","Загальна_площа","Ціна"
"Вінниця",3,"120",1875000
"Вінниця",3,"66",975000
"Вінниця",2,"66",1375000
"Вінниця",2,"44",637500
"Вінниця",3,"63",835000
"Вінниця",1,"31",562500
"Вінниця",3,"46",1150000
"Вінниця",3,"64",8e+05
"Вінниця",1,"35",424975
"Вінниця",6,"200",12500
"Вінниця",2,"46",5e+05
"Вінниця",1,"50",999975
"Вінниця",1,"38",512500
"Вінниця",2,"68",1e+06
"Вінниця",3,"98",2575000
"Вінниця",3,"123",3075000
"Вінниця",3,"90",3775000
"Вінниця",2,"62",1050000
"Вінниця",1,"46",811250
"Вінниця",1,"50",975000
"Вінниця",2,"43",549975
"Вінниця",4,"62",775000
"Вінниця",1,"42,99",550000
"Вінниця",2,"50",712500
"Вінниця",2,"44",550000
"Вінниця",4,"61",925000
"Вінниця",3,"67",1e+06
"Вінниця",2,"65",975000
"Вінниця",2,"45",672500
"Вінниця",1,"32",435000
"Вінниця",2,"63",1375000
"Вінниця",1,"36",550000
"Вінниця",1,"38",512500
"Вінниця",2,"52",612500
"Вінниця",1,"52",750000
"Вінниця",2,"70",1299975
"Вінниця",1,"45,5",11500
"Вінниця",1,"34",462500
"Вінниця",3,"56",649975
"Вінниця",1,"36,3",625000
"Вінниця",2,"87,5",1175000
"Вінниця",4,"80",1399975
"Вінниця",1,"52",524750
"Вінниця",1,"42",625000
"Вінниця",1,"47,2",565000
"Вінниця",2,"60",1350000
"Вінниця",1,"48",470000
"Вінниця",2,"64",598000
"Вінниця",3,"95",936000
"Вінниця",2,"30",712500
"Вінниця",1,"50,28",492744
"Вінниця",1,"41",562500
"Вінниця",2,"45",637500
"Вінниця",1,"43",850000
"Вінниця",1,"36",450000
"Вінниця",2,"80,55",789390
"Вінниця",1,"48",470000
"Вінниця",1,"40",747500
"Вінниця",2,"83",997500
"Вінниця",2,"44",674975
"Вінниця",2,"53",899975
"Вінниця",1,"38",475000
"Вінниця",3,"100",12500
"Вінниця",3,"64",937500
"Вінниця",2,"48",672500
"Вінниця",3,"60",1125000
"Вінниця",2,"62",577000
"Вінниця",3,"72,6",975000
"Вінниця",2,"63,2",1225000
"Вінниця",2,"82,3",1125000
"Вінниця",2,"50",747500
"Вінниця",2,"78",775000
"Вінниця",3,"100",1950000
"Вінниця",1,"37",625000
"Вінниця",1,"43",650000
"Вінниця",2,"50",1050000
"Вінниця",1,"31",562500
"Вінниця",1,"24",375000
"Вінниця",3,"53",625000
"Вінниця",2,"64",1050000
"Вінниця",1,"33,5",387500
"Вінниця",3,"100",2e+06
"Вінниця",2,"50",747500
"Вінниця",2,"48",575000
"Вінниця",2,"55",620000
"Вінниця",4,"64",775000
"Вінниця",1,"30",450000
"Вінниця",1,"58,2",725000
"Вінниця",1,"54,5",682500
"Вінниця",2,"68",750000
"Вінниця",3,"64",987500
"Вінниця",3,"63",936250
"Вінниця",4,"92",1072500
"Вінниця",1,"30",712500
"Вінниця",2,"85,7",1200000
"Вінниця",2,"77,2",675000
"Вінниця",4,"70",1625000
"Вінниця",3,"90",4e+06
"Вінниця",2,"45",675000
"Вінниця",2,"70",8e+05
"Вінниця",1,"42",850000
"Вінниця",1,"50",850000
"Вінниця",2,"75",1150000
"Вінниця",1,"48",825000
"Вінниця",1,"42",675000
"Вінниця",1,"14",262500
"Вінниця",3,"64",1125000
"Вінниця",3,"64",975000
"Вінниця",1,"34",487500
"Вінниця",1,"42",625000
"Вінниця",2,"60",825000
"Вінниця",2,"60",8e+05
"Вінниця",1,"55",662500
"Вінниця",1,"34",550000
"Вінниця",1,"50",1037500
"Вінниця",2,"60",825000
"Вінниця",1,"43",480000
"Вінниця",3,"64",1025000
"Вінниця",1,"32",437500
"Вінниця",1,"30",410000
"Вінниця",2,"65,3",712500
"Вінниця",1,"46",775000
"Вінниця",2,"46",747500
"Вінниця",3,"60",775000
"Вінниця",1,"35",457500
"Вінниця",1,"34",512500
"Вінниця",2,"54",9e+05
"Вінниця",1,"60",537500
"Вінниця",2,"42",837500
"Вінниця",3,"102",1575000
"Вінниця",3,"80",1700000
"Вінниця",1,"42",950000
"Вінниця",1,"40",9e+05
"Вінниця",2,"77",1625000
"Вінниця",2,"70",1225000
"Вінниця",3,"62",850000
"Вінниця",2,"58",1100000
"Вінниця",2,"74",1875000
"Вінниця",2,"64",948750
"Вінниця",1,"42",512500
"Вінниця",1,"45,5",625000
"Вінниця",3,"87",1947500
"Вінниця",2,"44",650000
"Вінниця",1,"42",675000
"Вінниця",1,"32",437500
"Вінниця",1,"41",625000
"Вінниця",3,"64",825000
"Вінниця",2,"50",1125000
"Вінниця",1,"48",8e+05
"Вінниця",1,"43",850000
"Вінниця",3,"100",2575000
"Вінниця",1,"30",537500
"Вінниця",2,"50,8",825000
"Вінниця",3,"90",1800000
"Вінниця",1,"32",575000
"Вінниця",1,"47",522500
"Вінниця",2,"50",687500
"Вінниця",2,"50",750000
"Вінниця",1,"42",612500
"Вінниця",1,"35",462475
"Вінниця",3,"68",1050000
"Вінниця",1,"36,5",425000
"Вінниця",3,"64",825000
"Вінниця",3,"67",1149975
"Вінниця",1,"42",410000
"Вінниця",1,"42",5e+05
"Вінниця",3,"85",1e+06
"Вінниця",3,"69",650000
"Вінниця",1,"30",475000
"Вінниця",2,"42",575000
"Вінниця",2,"80",750000
"Вінниця",3,"90",1950000
"Вінниця",1,"41",847500
"Вінниця",1,"41",642500
"Вінниця",1,"45",475000
"Вінниця",2,"47,7",475000
"Вінниця",3,"62",6e+05
"Вінниця",1,"46,27",625000
"Вінниця",1,"40",825000
"Вінниця",4,"62",762500
"Вінниця",3,"115",2e+06
"Вінниця",1,"46",575000
"Вінниця",1,"36,5",645000
"Вінниця",3,"100",1950000
"Вінниця",3,"78",1500000
"Вінниця",3,"59",550000
"Вінниця",2,"52",720000
"Вінниця",3,"87",1945000
"Вінниця",1,"30",449975
"Вінниця",1,"35",5e+05
"Вінниця",1,"40",4e+05
"Вінниця",2,"47",875000
"Вінниця",2,"56,5",1149975
"Вінниця",1,"46",450000
"Вінниця",1,"50",825000
"Вінниця",3,"60",1450000
"Вінниця",1,"31",5e+05
"Вінниця",3,"65",7e+05
"Вінниця",3,"64",875000
"Вінниця",3,"64",875000
"Вінниця",1,"34",562500
"Вінниця",1,"36",437500
"Вінниця",2,"65",975000
"Вінниця",3,"64",1200000
"Вінниця",1,"41",687500
"Вінниця",3,"68",650000
"Вінниця",4,"130",12500
"Вінниця",4,"125",13000
"Вінниця",2,"61,3",1050000
"Вінниця",2,"45",425000
"Вінниця",2,"64",557500
"Вінниця",2,"70",950000
"Вінниця",1,"40",512475
"Вінниця",1,"32",437500
"Вінниця",2,"52",722500
"Вінниця",2,"55",625000
"Вінниця",1,"35",375000
"Вінниця",2,"45",5e+05
"Вінниця",2,"45",570000
"Вінниця",2,"50",750000
"Вінниця",1,"32",450000
"Вінниця",2,"45",625000
"Вінниця",1,"46",437500
"Вінниця",2,"45",625000
"Вінниця",1,"41",562500
"Вінниця",3,"90",975000
"Вінниця",1,"48",650000
"Вінниця",3,"50",750000
"Вінниця",3,"62",675000
"Вінниця",1,"30",475000
"Вінниця",3,"50",522500
"Вінниця",4,"140",2320000
"Вінниця",2,"50",562500
"Вінниця",2,"36",247500
"Вінниця",3,"64",787500
"Вінниця",4,"90",1675000
